Date,Total indexed,Blocked by robots,Removed
2/23/14,0,0,0
3/2/14,0,0,0
3/9/14,0,0,0
3/16/14,0,0,0
3/23/14,0,0,0
3/30/14,0,0,0
4/6/14,0,0,0
4/13/14,0,0,0
4/20/14,0,0,0
4/27/14,0,0,0
5/4/14,0,0,0
5/11/14,0,0,0
5/18/14,0,0,0
5/25/14,0,0,0
6/1/14,0,0,0
6/8/14,0,0,0
6/15/14,0,0,0
6/22/14,0,0,0
6/29/14,0,0,0
7/6/14,0,0,0
7/13/14,0,0,0
7/20/14,0,0,0
7/27/14,0,0,0
8/3/14,0,0,0
8/10/14,0,0,0
8/17/14,0,0,0
8/24/14,0,0,0
8/31/14,0,0,0
9/7/14,0,0,0
9/14/14,0,0,0
9/21/14,0,0,0
9/28/14,0,0,0
10/5/14,0,0,0
10/12/14,0,0,0
10/19/14,0,0,0
10/26/14,0,0,0
11/2/14,0,0,0
11/9/14,0,0,0
11/16/14,0,0,0
11/23/14,0,0,0
11/30/14,0,0,0
12/7/14,0,0,0
12/14/14,0,0,0
12/21/14,0,0,0
12/28/14,0,0,0
1/4/15,0,0,0
1/11/15,0,0,0
1/18/15,0,0,0
1/25/15,0,0,0
2/1/15,0,0,0
2/8/15,3,0,0
2/15/15,3,0,0
